ym,n,mean,std,t_stat,sharpe,hit
2020-02,5,0.006484610941597385,0.09037304010435736,0.1604464213697681,1.1390565956836407,0.6
2020-03,7,0.13188844364548818,0.3111333510939317,1.1215256142179755,6.729153685307853,0.5714285714285714
2020-04,6,-0.024291674469793023,0.1922937426356715,-0.3094339245428365,-2.005361028252828,0.3333333333333333
2020-05,7,-0.05678685391653259,0.26842033516577574,-0.5597336472592854,-3.358401883555713,0.42857142857142855
2020-06,4,0.06867507486823471,0.07743902738355361,1.7736554083534324,14.077953366083687,1.0
2020-07,5,-0.011103140480238433,0.08824124074465971,-0.28135797579484206,-1.9974434788964355,0.6
2020-08,5,-0.020719354243859338,0.08960717081329793,-0.5170332253397377,-3.6705717739478523,0.4
2020-09,4,-0.04156783980892548,0.10620808566285601,-0.7827622454448011,-6.212982711412336,0.5
2020-10,5,-0.04805506853110597,0.06992424104453411,-1.5367260093753068,-10.909672411474324,0.4
2020-11,6,0.010232287886240463,0.10582151070770823,0.23685056143055874,1.5349670729037732,0.6666666666666666
2021-02,5,-0.2031478907432546,0.24404887381480092,-1.8613177192218142,-13.214044954335916,0.0
2021-03,6,-0.06887175852385435,0.039242439610808866,-4.2989342085947815,-27.860277885417993,0.0
2021-04,5,0.06013367834938088,0.059482105050084035,2.260562103730272,16.04839891238376,0.8
2021-05,5,0.021607184067817208,0.07203130763409617,0.6707518433987117,4.7618657042495025,0.8
2021-06,4,-0.041585720939377235,0.06373613245866182,-1.3049339310429302,-10.357591976728509,0.25
2021-07,4,0.021721588794093583,0.05652817125420096,0.7685226078308456,6.099959091753714,0.75
2021-08,4,0.04155540227915002,0.07186667777166571,1.1564581407583512,9.17910192630818,0.75
2021-10,4,-0.014433587678770841,0.09730933466349309,-0.2966537121784637,-2.3546158437850444,0.5
2021-11,7,-0.01860930068006787,0.06579600261332263,-0.7483065796814126,-4.489839478088475,0.42857142857142855
2021-12,5,0.007176094861209198,0.11974881015984291,0.1339991261811443,0.9512994256239388,0.4
2022-02,4,0.011108088678305391,0.05797897695231363,0.3831764291888606,3.0413686196864287,0.5
2022-03,6,-0.05717754829119078,0.11935500500330117,-1.1734390028544501,-7.604753902897974,0.3333333333333333
2022-05,7,0.02603862533495564,0.1904158248218441,0.3617962277176,2.1707773663056003,0.5714285714285714
2022-06,4,-0.0247015865643596,0.05649614578669342,-0.8744520965243466,-6.94074834252741,0.5
2022-07,5,-0.09548933604428061,0.08814344360019308,-2.422422335685381,-17.197492567532677,0.0
2022-08,6,-0.10541927114794027,0.18031318005410293,-1.4320829086985123,-9.280957989896757,0.3333333333333333
2022-10,4,0.0848887834831013,0.08167089181003706,2.07880143345438,16.499974854014628,0.75
2022-11,6,-0.07652117493015788,0.0928378936363436,-2.0189798126113665,-13.084484640854361,0.16666666666666666
2023-02,6,-0.030293234405403314,0.05158054527894343,-1.4385843839082781,-9.323092364888378,0.3333333333333333
2023-03,5,-0.0038257635026349274,0.03591820217180945,-0.23817080868383664,-1.6908450074147188,0.2
2023-05,8,-0.02380843431906613,0.0960524174586958,-0.7010799228946244,-3.9348013083263655,0.5
2023-07,5,0.05040615463015523,0.21013087113516637,0.5363875742222156,3.807974020514273,0.4
2023-08,6,0.02544826261210655,0.09062231119072141,0.6878577407810582,4.457827655394689,0.5
2023-10,4,0.05127914047912452,0.0673137578711285,1.5235857304920608,12.093086831906016,0.75
2023-11,8,-0.04050956083961403,0.1644969951027395,-0.6965375909678986,-3.909307533616146,0.375
2024-02,7,0.005827978460851893,0.05083801701466975,0.3033041522686791,1.8198249136120745,0.5714285714285714
2024-03,5,-0.06371278496245221,0.021321459336294084,-6.681818348585505,-47.43620453569292,0.0
2024-04,4,0.15385326012349962,0.23409700655847096,1.314440217628937,10.433045787323357,0.75
2024-05,8,0.029025849605075295,0.12611257595062686,0.6509858332759746,3.6536489276433595,0.5
2024-06,4,-0.041409491253684524,0.06039394223424218,-1.3713127417009765,-10.884457452704812,0.25
2024-08,8,0.02727911652866669,0.08936640261524591,0.8633780802499262,4.845697457318762,0.625
2024-10,4,0.04167060870409242,0.041293683808937366,2.018255813499181,16.01940889388757,0.75
2024-11,8,0.016630003693919707,0.05191235128454012,0.9060801980379519,5.085362498997447,0.625
2024-12,4,-0.33284405808557493,1.0292500854394164,-0.6467700373198886,-5.133578022589169,0.5
2025-02,7,-0.04516573282410309,0.14743320861072798,-0.8105181862390028,-4.863109117434017,0.5714285714285714
2025-03,5,0.059399459626654605,0.06840459243872303,1.9417004738524757,13.784705901832291,0.8
2025-04,4,-0.09959918051172187,0.13856972364874343,-1.4375316322949894,-11.410053602523869,0.25
2025-05,9,0.010987323640177741,0.0829180192229688,0.3975248230652687,2.1035036436113086,0.4444444444444444
2025-06,4,0.01550234320719731,0.17229285123245935,0.1799534118369355,1.428335925894355,0.25
2025-07,5,-0.04538145321805504,0.11883766633343722,-0.8539044685426095,-6.062120355652025,0.4
2025-08,7,-0.035118584871033885,0.08271049484827862,-1.1233766904153006,-6.740260142491803,0.2857142857142857
2025-10,5,0.09848457729290738,0.15665617827172906,1.4057422566526045,9.979780013797567,0.6
2025-11,7,-0.10458416460729247,0.12693908436265447,-2.179814767182497,-13.078888603094983,0.2857142857142857
